set_id,stratum,rms_db,voiced_frac
in00103,voiced,-3.73,1.0
in00104,voiced,-3.38,1.0
in00105,voiced,2.0,1.0
in00106,unvoiced,-11.01,0.0
in00107,unvoiced,-17.78,0.333
in00108,voiced,-18.22,1.0
in00109,unvoiced,-5.0,0.0
in00110,silence,-47.92,1.0
in00111,unvoiced,-28.44,0.0
in00112,voiced,-2.18,1.0
in00113,voiced,-2.85,1.0
in00114,voiced,-4.29,1.0
in00115,unvoiced,-37.42,0.0
in00116,silence,-44.97,0.0
in00117,silence,-40.59,0.0
in00118,voiced,0.38,1.0
in00119,unvoiced,-11.49,0.333
in00120,silence,-43.8,0.0
in00121,silence,-41.31,0.0
in00122,silence,-45.3,0.0
in00123,voiced,-1.1,1.0
in00124,unvoiced,-4.07,0.0
in00125,voiced,0.08,1.0
in00126,unvoiced,-13.11,0.0
in00127,voiced,-6.22,1.0
in00128,silence,-56.72,0.0
in00129,voiced,-34.33,1.0
in00130,voiced,-0.46,1.0
in00131,voiced,-4.85,1.0
in00132,silence,-50.96,0.0
in00133,voiced,-1.63,1.0
in00134,voiced,-15.26,0.667
in00135,silence,-50.56,0.0
in00136,silence,-41.37,1.0
in00137,voiced,-15.18,1.0
in00138,voiced,-1.84,1.0
in00139,unvoiced,-10.98,0.0
in00140,unvoiced,-17.02,0.333
in00141,voiced,-0.92,1.0
in00142,voiced,-2.9,1.0
in00143,silence,-50.1,0.0
in00144,unvoiced,-14.16,0.0
in00145,voiced,0.28,1.0
in00146,voiced,-34.02,1.0
in00147,unvoiced,-19.54,0.0
in00148,voiced,-0.14,1.0
in00149,silence,-54.5,0.0
in00150,silence,-45.55,0.0
in00151,voiced,-6.74,0.5
in00152,voiced,-0.1,1.0
in00153,silence,-47.69,1.0
in00154,voiced,-6.29,1.0
in00155,voiced,-3.2,1.0
in00156,unvoiced,-38.13,0.0
in00157,voiced,-3.77,1.0
in00158,silence,-49.15,0.0
in00159,unvoiced,-28.33,0.0
in00160,voiced,-0.39,1.0
in00161,voiced,0.38,0.833
in00162,voiced,-12.65,1.0
in00163,silence,-44.57,1.0
in00164,unvoiced,-10.12,0.0
in00165,voiced,-3.26,1.0
in00166,voiced,-4.68,1.0
in00167,voiced,-15.65,0.667
in00168,voiced,-8.52,1.0
in00169,voiced,-4.7,1.0
in00170,voiced,-6.64,1.0
in00171,voiced,-10.14,0.5
in00172,voiced,1.7,0.833
in00173,voiced,-11.83,1.0
in00174,silence,-41.48,0.0
in00175,voiced,-9.37,0.667
in00176,voiced,-7.04,1.0
in00177,voiced,-4.9,1.0
in00178,silence,-46.49,0.0
in00179,voiced,-1.49,1.0
in00180,voiced,-10.03,1.0
in00181,unvoiced,-25.88,0.0
in00182,silence,-43.43,0.0
in00183,silence,-48.45,1.0
in00184,silence,-51.56,1.0
in00185,unvoiced,-27.28,0.0
in00186,voiced,-1.84,1.0
in00187,voiced,-7.9,1.0
in00188,voiced,2.35,1.0
in00189,silence,-44.36,1.0
in00190,voiced,-5.6,1.0
in00191,voiced,0.67,1.0
in00192,voiced,-2.92,1.0
in00193,silence,-44.15,0.0
in00194,silence,-41.12,0.0
in00195,silence,-52.54,0.0
in00196,voiced,-5.61,1.0
in00197,unvoiced,-8.61,0.0
in00198,voiced,0.89,1.0
in00199,unvoiced,-9.07,0.0
in00200,silence,-42.37,1.0
in00201,silence,-46.93,0.0
in00202,voiced,-5.19,1.0
in00203,unvoiced,-36.75,0.0
in00204,unvoiced,-36.62,0.0
in00205,silence,-45.08,0.0
in00206,voiced,-10.22,0.5
in00207,voiced,-7.18,0.833
in00208,unvoiced,-8.31,0.0
in00209,voiced,-0.43,1.0
in00210,unvoiced,-1.59,0.0
in00211,silence,-44.86,0.833
in00212,voiced,0.51,1.0
in00213,silence,-50.66,1.0
in00214,voiced,-3.98,0.833
in00215,voiced,-26.97,0.5
in00216,voiced,-5.56,1.0
in00217,voiced,-1.12,1.0
in00218,silence,-46.37,0.0
in00219,silence,-43.23,0.0
in00220,voiced,-6.75,1.0
in00221,voiced,-12.15,1.0
in00222,voiced,-2.57,1.0
in00223,voiced,-7.71,0.833
in00224,voiced,-1.95,1.0
in00225,voiced,-3.68,1.0
in00226,silence,-44.25,0.0
in00227,silence,-50.58,0.0
in00228,silence,-44.63,0.0
in00229,voiced,-9.25,1.0
in00230,voiced,-1.63,1.0
in00231,voiced,-12.98,1.0
in00232,voiced,-2.17,1.0
in00233,unvoiced,-33.84,0.0
in00234,voiced,-1.63,1.0
in00235,voiced,-0.59,1.0
in00236,voiced,-16.55,0.5
in00237,voiced,-4.22,0.667
in00238,voiced,-0.12,1.0
in00239,unvoiced,-8.0,0.0
in00240,unvoiced,-37.43,0.0
in00241,voiced,-15.72,1.0
in00242,unvoiced,-17.17,0.0
in00243,voiced,-3.17,1.0
in00244,voiced,-1.11,1.0
in00245,voiced,-34.67,1.0
in00246,unvoiced,-3.51,0.0
in00247,unvoiced,-16.9,0.0
in00248,voiced,-31.07,0.5
in00249,voiced,-2.94,1.0
in00250,voiced,0.79,1.0
in00251,voiced,-1.51,1.0
in00252,silence,-51.09,1.0
in00253,unvoiced,-32.58,0.0
in00254,unvoiced,-12.83,0.0
in00255,voiced,-2.16,1.0
in00256,silence,-44.99,0.0
in00257,silence,-42.47,1.0
in00258,voiced,-4.67,1.0
in00259,voiced,-15.26,0.667
in00260,silence,-44.55,0.0
in00261,silence,-41.46,0.0
in00262,unvoiced,-37.87,0.0
in00263,voiced,-7.87,0.667
in00264,unvoiced,-39.67,0.0
in00265,voiced,-8.13,1.0
in00266,silence,-40.82,0.0
in00267,voiced,-9.45,1.0
in00268,silence,-50.3,0.0
in00269,unvoiced,-33.21,0.0
in00270,voiced,-2.7,1.0
in00271,voiced,-6.62,1.0
in00272,silence,-46.23,0.0
in00273,unvoiced,-39.52,0.0
in00274,silence,-46.45,0.0
in00275,silence,-53.65,0.0
in00276,unvoiced,-16.82,0.0
in00277,silence,-40.28,0.0
in00278,unvoiced,-21.16,0.0
in00279,voiced,-27.19,0.833
in00280,voiced,-0.97,1.0
in00281,unvoiced,-39.07,0.0
in00282,silence,-46.38,0.0
in00283,silence,-42.67,0.0
in00284,silence,-46.58,0.5
in00285,unvoiced,-17.44,0.0
in00286,voiced,-3.95,1.0
in00287,unvoiced,-7.16,0.0
in00288,unvoiced,-19.64,0.167
in00289,silence,-43.48,0.0
in00290,voiced,-3.74,1.0
in00291,silence,-44.42,0.333
in00292,unvoiced,-37.68,0.0
in00293,silence,-44.92,0.0
in00294,silence,-45.27,0.0
in00295,unvoiced,-26.06,0.167
in00296,silence,-50.52,0.0
in00297,unvoiced,-1.78,0.333
in00298,voiced,-5.92,1.0
in00299,voiced,-21.48,0.667
in00300,silence,-47.08,1.0
in00301,voiced,-0.1,1.0
in00302,silence,-53.94,0.0
in00303,unvoiced,-15.8,0.0
in00304,voiced,-38.24,1.0
in00305,silence,-41.33,0.0
in00306,voiced,-0.46,1.0
in00307,voiced,-10.05,1.0
in00308,voiced,0.23,1.0
in00309,silence,-41.72,0.0
in00310,voiced,-1.41,1.0
in00311,unvoiced,-31.52,0.0
in00312,voiced,-6.95,0.667
in00313,voiced,-6.13,1.0
in00314,silence,-40.38,0.0
in00315,voiced,-4.51,1.0
in00316,unvoiced,-24.04,0.333
in00317,voiced,1.53,1.0
in00318,voiced,2.09,1.0
in00319,unvoiced,-15.44,0.0
in00320,voiced,-13.21,1.0
in00321,voiced,-21.16,0.5
in00322,unvoiced,-20.5,0.167
in00323,silence,-49.72,0.0
in00324,silence,-48.52,0.0
in00325,voiced,-35.2,1.0
in00326,silence,-44.86,0.0
in00327,silence,-43.68,0.0
in00328,silence,-43.18,1.0
in00329,unvoiced,-5.56,0.0
in00330,unvoiced,-39.76,0.0
in00331,voiced,-9.24,1.0
in00332,silence,-40.61,0.0
in00333,unvoiced,-33.26,0.0
in00334,voiced,-0.25,1.0
in00335,voiced,-3.91,1.0
in00336,unvoiced,-14.01,0.0
in00337,unvoiced,-3.06,0.0
in00338,voiced,-2.82,1.0
in00339,voiced,0.65,1.0
in00340,unvoiced,-3.28,0.0
in00341,voiced,-2.69,1.0
in00342,voiced,-16.38,0.667
in00343,silence,-52.65,0.0
in00344,voiced,-32.18,0.667
in00345,voiced,0.65,1.0
in00346,unvoiced,-8.01,0.0
in00347,silence,-54.96,0.0
in00348,unvoiced,-30.75,0.0
in00349,voiced,-37.45,1.0
in00350,silence,-47.49,0.0
in00351,unvoiced,-22.58,0.0
in00352,unvoiced,-9.38,0.0
in00353,silence,-42.2,1.0
in00354,silence,-44.37,0.0
in00355,unvoiced,-39.36,0.0
in00356,voiced,0.37,1.0
in00357,unvoiced,-30.87,0.167
in00358,unvoiced,-7.68,0.0
in00359,unvoiced,-30.34,0.0
in00360,voiced,-16.24,1.0
in00361,voiced,-3.24,1.0
in00362,silence,-49.22,1.0
in00363,voiced,-16.76,0.667
in00364,voiced,-0.13,1.0
in00365,voiced,4.82,1.0
in00366,voiced,-23.16,0.667
in00367,voiced,-2.41,1.0
in00368,voiced,-3.29,1.0
in00369,voiced,-7.34,0.833
in00370,unvoiced,-7.62,0.0
in00371,unvoiced,-3.74,0.0
in00372,silence,-50.77,1.0
in00373,voiced,-7.12,0.833
in00374,unvoiced,-8.49,0.0
in00375,voiced,-1.64,0.5
in00376,silence,-44.06,0.0
in00377,voiced,-7.59,1.0
in00378,unvoiced,-33.2,0.0
in00379,voiced,-5.11,1.0
in00380,unvoiced,-5.15,0.0
in00381,voiced,-10.87,1.0
in00382,unvoiced,-4.95,0.0
in00383,silence,-44.37,1.0
in00384,unvoiced,-16.77,0.333
in00385,unvoiced,-3.98,0.0
in00386,unvoiced,-23.13,0.0
in00387,silence,-48.5,0.0
in00388,voiced,-29.07,1.0
in00389,voiced,0.63,1.0
in00390,unvoiced,-4.69,0.0
in00391,unvoiced,-28.63,0.0
in00392,voiced,-5.81,1.0
in00393,voiced,-0.82,1.0
in00394,unvoiced,-24.67,0.0
in00395,silence,-46.54,0.0
in00396,voiced,-0.81,1.0
in00397,silence,-52.22,0.0
in00398,silence,-44.27,0.0
in00399,voiced,-38.64,1.0
in00400,unvoiced,-36.03,0.0
in00401,voiced,-3.18,1.0
in00402,silence,-47.03,1.0
in00403,unvoiced,-38.52,0.0
in00404,voiced,-3.8,1.0
in00405,voiced,-4.7,1.0
in00406,unvoiced,-3.63,0.0
in00407,silence,-46.36,1.0
in00408,voiced,2.03,0.667
in00409,voiced,-6.84,1.0
in00410,voiced,-2.23,1.0
in00411,voiced,-15.78,1.0
in00412,unvoiced,-12.33,0.0
in00413,unvoiced,-3.46,0.0
in00414,unvoiced,-26.91,0.0
in00415,unvoiced,-23.35,0.0
in00416,voiced,-1.45,1.0
in00417,voiced,-8.41,0.667
in00418,voiced,-8.95,1.0
in00419,voiced,-1.9,1.0
in00420,voiced,3.77,0.667
in00421,voiced,-3.07,1.0
in00422,silence,-43.59,0.0
in00423,silence,-46.64,0.0
in00424,unvoiced,-34.47,0.0
in00425,silence,-43.47,0.0
in00426,unvoiced,-39.87,0.0
in00427,voiced,-2.79,1.0
in00428,unvoiced,-3.81,0.0
in00429,voiced,-5.56,0.833
in00430,unvoiced,-38.55,0.0
in00431,voiced,-6.27,1.0
in00432,silence,-44.39,1.0
in00433,voiced,0.1,1.0
in00434,unvoiced,-12.49,0.167
in00435,voiced,-39.93,0.667
in00436,voiced,-0.83,1.0
in00437,voiced,-2.32,1.0
in00438,unvoiced,-39.5,0.0
in00439,voiced,2.27,1.0
in00440,unvoiced,-15.98,0.167
in00441,voiced,-9.82,0.833
in00442,voiced,-6.34,0.667
in00443,voiced,-5.31,1.0
in00444,unvoiced,-33.9,0.0
in00445,silence,-50.02,0.0
in00446,silence,-47.47,0.0
in00447,voiced,-5.31,1.0
in00448,unvoiced,-19.09,0.0
in00449,voiced,-7.71,1.0
in00450,voiced,-29.65,0.667
in00451,voiced,-13.83,1.0
in00452,voiced,-8.12,1.0
in00453,voiced,-3.51,1.0
in00454,voiced,-20.78,1.0
in00455,silence,-50.0,1.0
in00456,voiced,-2.96,1.0
in00457,voiced,-8.87,1.0
in00458,voiced,-14.29,1.0
in00459,silence,-45.24,0.0
in00460,unvoiced,-22.79,0.0
in00461,silence,-50.31,0.5
in00462,silence,-47.63,1.0
in00463,silence,-47.87,0.0
in00464,voiced,1.32,1.0
in00465,voiced,-2.34,1.0
in00466,silence,-43.83,0.0
in00467,voiced,0.55,1.0
in00468,voiced,3.56,1.0
in00469,voiced,-8.23,0.833
in00470,voiced,-18.66,1.0
in00471,voiced,-4.47,1.0
in00472,voiced,-7.14,0.833
in00473,silence,-41.0,0.0
in00474,voiced,1.96,1.0
in00475,unvoiced,-24.44,0.0
in00476,voiced,-1.31,1.0
in00477,silence,-42.53,0.0
in00478,silence,-52.99,0.0
in00479,silence,-45.63,0.0
in00480,voiced,-13.29,1.0
in00481,unvoiced,-4.51,0.0
in00482,voiced,3.63,1.0
in00483,voiced,-3.55,1.0
in00484,voiced,-0.16,1.0
in00485,silence,-49.72,0.0
in00486,unvoiced,-35.72,0.0
in00487,voiced,-33.7,1.0
in00488,voiced,-4.02,1.0
in00489,voiced,-6.46,1.0
in00490,unvoiced,-18.57,0.0
in00491,unvoiced,-5.68,0.0
in00492,voiced,-3.89,1.0
in00493,silence,-47.81,0.0
in00494,silence,-48.63,0.0
in00495,voiced,-3.51,1.0
in00496,unvoiced,-34.11,0.0
in00497,voiced,-17.01,1.0
in00498,silence,-40.83,0.0
in00499,unvoiced,-9.99,0.0
in00500,voiced,-1.24,1.0
in00501,silence,-47.87,0.0
in00502,voiced,-0.64,1.0
in00503,voiced,-11.95,0.833
in00504,voiced,-1.67,0.833
in00505,unvoiced,-31.46,0.0
in00506,voiced,-18.8,1.0
in00507,voiced,-12.27,0.833
in00508,unvoiced,-32.88,0.0
in00509,voiced,1.39,1.0
in00510,silence,-60.69,0.0
in00511,voiced,-2.03,1.0
in00512,unvoiced,-34.25,0.0
in00513,voiced,-22.73,0.5
in00514,voiced,-8.44,0.667
in00515,voiced,-24.75,1.0
in00516,silence,-45.4,0.0
in00517,silence,-49.97,0.0
in00518,silence,-47.17,1.0
in00519,unvoiced,-4.27,0.0
in00520,voiced,-10.6,1.0
in00521,voiced,-3.9,1.0
in00522,unvoiced,-10.46,0.0
in00523,voiced,-5.87,1.0
in00524,silence,-43.24,0.0
in00525,voiced,-2.45,1.0
in00526,voiced,-28.26,1.0
in00527,voiced,-33.98,1.0
in00528,voiced,-14.12,0.667
in00529,unvoiced,-17.84,0.0
in00530,voiced,0.07,1.0
in00531,voiced,-2.26,1.0
in00532,unvoiced,-4.5,0.333
in00533,voiced,-8.6,1.0
in00534,voiced,-3.75,1.0
in00535,silence,-44.6,0.0
in00536,voiced,-4.58,1.0
in00537,unvoiced,-12.34,0.0
in00538,voiced,3.98,1.0
in00539,voiced,-8.42,0.667
in00540,voiced,-1.21,1.0
in00541,silence,-48.07,1.0
in00542,voiced,2.02,1.0
in00543,voiced,-2.58,1.0
in00544,voiced,-21.68,1.0
in00545,unvoiced,-12.89,0.0
in00546,silence,-46.42,0.0
in00547,voiced,-4.67,1.0
in00548,voiced,-3.39,1.0
in00549,voiced,-4.74,1.0
in00550,unvoiced,-31.29,0.0
in00551,voiced,0.58,1.0
in00552,voiced,-4.77,1.0
in00553,unvoiced,-4.0,0.0
in00554,voiced,-11.07,1.0
in00555,unvoiced,-37.22,0.0
in00556,silence,-47.44,0.0
in00557,unvoiced,-39.17,0.0
in00558,voiced,4.1,1.0
in00559,silence,-45.54,0.0
in00560,voiced,-3.09,1.0
in00561,unvoiced,-24.39,0.0
in00562,voiced,-16.33,1.0
in00563,silence,-45.77,0.0
in00564,voiced,-5.62,1.0
in00565,voiced,-10.65,1.0
in00566,unvoiced,-31.84,0.0
in00567,silence,-48.66,1.0
in00568,voiced,-14.17,0.833
in00569,voiced,-8.17,1.0
in00570,voiced,-9.49,1.0
in00571,voiced,-1.01,1.0
in00572,silence,-47.03,1.0
in00573,silence,-49.34,0.0
in00574,voiced,-0.33,1.0
in00575,silence,-47.41,0.0
in00576,silence,-44.81,0.0
in00577,voiced,-8.0,1.0
in00578,voiced,-3.37,1.0
in00579,silence,-41.19,1.0
in00580,voiced,0.24,1.0
in00581,voiced,-1.74,1.0
in00582,voiced,4.95,1.0
in00583,voiced,-2.05,1.0
in00584,unvoiced,-29.77,0.333
in00585,silence,-42.74,0.0
in00586,voiced,-7.47,1.0
in00587,silence,-53.49,0.0
in00588,unvoiced,-29.76,0.0
in00589,unvoiced,-32.22,0.0
in00590,voiced,-4.66,1.0
in00591,silence,-42.75,1.0
in00592,unvoiced,-33.24,0.0
in00593,silence,-50.11,1.0
in00594,silence,-52.07,0.0
in00595,silence,-48.19,0.0
in00596,unvoiced,-16.54,0.333
in00597,voiced,-2.18,1.0
in00598,voiced,-35.88,1.0
in00599,voiced,-32.1,0.5
in00600,silence,-55.54,1.0
in00601,voiced,-0.33,1.0
in00602,voiced,-11.6,0.833
in00603,unvoiced,-19.77,0.167
in00604,voiced,-0.24,1.0
in00605,silence,-46.82,0.0
in00606,silence,-53.65,0.0
in00607,unvoiced,-37.85,0.0
in00608,voiced,-7.67,1.0
in00609,voiced,-6.73,1.0
in00610,silence,-43.98,1.0
in00611,voiced,-4.26,1.0
in00612,voiced,-5.07,1.0
in00613,silence,-42.29,1.0
in00614,unvoiced,-39.4,0.0
in00615,voiced,-7.29,1.0
in00616,voiced,-7.63,1.0
in00617,voiced,-3.92,1.0
in00618,voiced,-17.56,0.667
in00619,voiced,1.75,1.0
in00620,voiced,-10.26,1.0
in00621,silence,-47.98,0.333
in00622,voiced,-0.39,1.0
in00623,unvoiced,-13.05,0.0
in00624,voiced,0.41,1.0
in00625,voiced,2.7,1.0
in00626,voiced,-5.86,1.0
in00627,silence,-41.38,0.0
in00628,silence,-58.91,0.0
in00629,silence,-40.38,0.5
in00630,silence,-44.85,0.0
in00631,voiced,0.44,1.0
in00632,unvoiced,-3.82,0.0
in00633,unvoiced,-19.71,0.0
in00634,unvoiced,-16.12,0.0
in00635,silence,-51.36,0.0
in00636,voiced,-4.24,1.0
in00637,unvoiced,-32.28,0.0
in00638,voiced,-37.93,1.0
in00639,silence,-46.11,1.0
in00640,voiced,-5.16,1.0
in00641,voiced,0.93,1.0
in00642,silence,-54.71,0.0
in00643,silence,-40.41,0.0
in00644,voiced,-2.73,1.0
in00645,voiced,-16.63,1.0
in00646,silence,-46.6,0.0
in00647,voiced,-10.06,1.0
in00648,unvoiced,-7.29,0.0
in00649,voiced,-2.25,0.667
in00650,silence,-47.1,1.0
in00651,unvoiced,3.45,0.0
in00652,voiced,-3.59,0.667
in00653,unvoiced,-38.35,0.0
in00654,unvoiced,-8.6,0.0
in00655,voiced,-2.63,1.0
in00656,silence,-48.93,0.0
in00657,voiced,-8.6,1.0
in00658,silence,-47.67,0.0
in00659,silence,-41.4,1.0
in00660,voiced,0.12,1.0
in00661,unvoiced,-14.67,0.167
in00662,voiced,-1.92,1.0
in00663,voiced,-14.62,0.5
in00664,silence,-51.36,0.0
in00665,silence,-41.29,0.0
in00666,silence,-43.19,0.0
in00667,unvoiced,-4.77,0.0
in00668,voiced,-5.68,1.0
in00669,unvoiced,-26.28,0.0
in00670,silence,-48.88,0.0
in00671,voiced,-2.68,0.667
in00672,voiced,-11.41,1.0
in00673,silence,-50.76,0.333
in00674,voiced,-15.12,0.667
in00675,voiced,-16.7,0.667
in00676,silence,-49.16,0.0
in00677,silence,-43.88,1.0
in00678,unvoiced,-1.6,0.0
in00679,voiced,-1.55,0.833
in00680,silence,-43.21,1.0
in00681,unvoiced,-16.42,0.0
in00682,voiced,-0.77,1.0
in00683,voiced,-16.28,0.667
in00684,voiced,1.59,1.0
in00685,silence,-41.86,0.0
in00686,voiced,-2.97,1.0
in00687,voiced,-11.74,1.0
in00688,silence,-47.04,0.0
in00689,silence,-46.18,0.667
in00690,silence,-40.38,0.0
in00691,silence,-40.84,0.0
in00692,voiced,-38.04,1.0
in00693,voiced,-1.5,1.0
in00694,unvoiced,-12.87,0.0
in00695,silence,-48.79,0.0
in00696,voiced,-9.1,1.0
in00697,unvoiced,-2.51,0.0
in00698,unvoiced,-3.61,0.0
in00699,voiced,-3.91,1.0
in00700,voiced,-1.63,1.0
in00701,unvoiced,-35.51,0.0
in00702,voiced,-9.93,0.833
in00703,silence,-49.58,0.0
in00704,silence,-44.23,0.0
in00705,silence,-50.96,0.0
in00706,voiced,-7.15,1.0
in00707,voiced,-5.86,1.0
in00708,unvoiced,-32.91,0.0
in00709,voiced,-0.74,1.0
in00710,silence,-47.2,1.0
in00711,voiced,4.97,1.0
in00712,silence,-55.18,1.0
in00713,unvoiced,-39.62,0.0
in00714,voiced,1.78,1.0
in00715,silence,-51.85,0.0
in00716,voiced,-3.8,1.0
in00717,voiced,-4.08,1.0
in00718,unvoiced,-29.27,0.0
in00719,unvoiced,-19.42,0.333
in00720,voiced,-2.18,1.0
in00721,unvoiced,-12.64,0.0
in00722,silence,-51.71,0.0
in00723,voiced,-3.16,1.0
in00724,voiced,-3.41,1.0
in00725,voiced,-23.94,0.667
in00726,voiced,-3.66,1.0
in00727,voiced,-13.08,1.0
in00728,voiced,-15.97,1.0
in00729,unvoiced,-24.83,0.333
in00730,unvoiced,-2.42,0.167
in00731,voiced,-1.69,1.0
in00732,voiced,-0.61,1.0
in00733,voiced,-5.65,0.5
in00734,silence,-44.47,0.0
in00735,voiced,1.67,1.0
in00736,voiced,-13.86,0.833
in00737,voiced,-4.02,1.0
in00738,voiced,0.32,0.833
in00739,unvoiced,-1.85,0.0
in00740,voiced,-2.38,1.0
in00741,voiced,-13.67,0.667
in00742,unvoiced,-12.57,0.0
in00743,unvoiced,0.46,0.333
in00744,voiced,-0.68,1.0
in00745,voiced,-3.89,1.0
in00746,silence,-42.0,1.0
in00747,silence,-45.71,0.0
in00748,silence,-51.69,0.0
in00749,silence,-54.2,0.0
