set_id,item,file,family,width_ms,speaker,generator,key_left,key_right,boundary_sample,boundary_ms,boundary_phase_ms,level_gain,raw_peak,clipped
in00000,D_BF_w160,in00000__D_BF_w160.wav,D,160,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.0,0.44324,False
in00000,S_BF_w160,in00000__S_BF_w160.wav,S,160,LA_0026,none,LA_E_4495799,LA_E_5889823,30301,1893.8125,13.8125,1.122301,0.47186,False
in00001,P_BF,in00001__P_BF.wav,P,0,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,C_BF_w0,in00001__C_BF_w0.wav,C,0,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,D_BF_w0,in00001__D_BF_w0.wav,D,0,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,S_BF_w0,in00001__S_BF_w0.wav,S,0,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,0.875136,0.48425,False
in00001,C_BF_w20,in00001__C_BF_w20.wav,C,20,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,D_BF_w20,in00001__D_BF_w20.wav,D,20,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,S_BF_w20,in00001__S_BF_w20.wav,S,20,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,0.875136,0.48425,False
in00001,C_BF_w60,in00001__C_BF_w60.wav,C,60,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,D_BF_w60,in00001__D_BF_w60.wav,D,60,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,S_BF_w60,in00001__S_BF_w60.wav,S,60,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,0.875136,0.48425,False
in00001,C_BF_w160,in00001__C_BF_w160.wav,C,160,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,D_BF_w160,in00001__D_BF_w160.wav,D,160,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,1.0,0.47144,False
in00001,S_BF_w160,in00001__S_BF_w160.wav,S,160,LA_0013,none,LA_E_8689459,LA_E_5068457,19309,1206.8125,6.8125,0.875136,0.48425,False
in00002,P_BF,in00002__P_BF.wav,P,0,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,C_BF_w0,in00002__C_BF_w0.wav,C,0,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,D_BF_w0,in00002__D_BF_w0.wav,D,0,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,S_BF_w0,in00002__S_BF_w0.wav,S,0,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.07694,0.45224,False
in00002,C_BF_w20,in00002__C_BF_w20.wav,C,20,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,D_BF_w20,in00002__D_BF_w20.wav,D,20,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,S_BF_w20,in00002__S_BF_w20.wav,S,20,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.07694,0.45224,False
in00002,C_BF_w60,in00002__C_BF_w60.wav,C,60,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,D_BF_w60,in00002__D_BF_w60.wav,D,60,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,S_BF_w60,in00002__S_BF_w60.wav,S,60,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.07694,0.45224,False
in00002,C_BF_w160,in00002__C_BF_w160.wav,C,160,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,D_BF_w160,in00002__D_BF_w160.wav,D,160,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.0,0.45224,False
in00002,S_BF_w160,in00002__S_BF_w160.wav,S,160,LA_0045,none,LA_E_3526157,LA_E_3697251,22299,1393.6875,13.6875,1.07694,0.45224,False
in00003,P_BF,in00003__P_BF.wav,P,0,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,C_BF_w0,in00003__C_BF_w0.wav,C,0,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,D_BF_w0,in00003__D_BF_w0.wav,D,0,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,S_BF_w0,in00003__S_BF_w0.wav,S,0,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,0.754177,0.32772,False
in00003,C_BF_w20,in00003__C_BF_w20.wav,C,20,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,D_BF_w20,in00003__D_BF_w20.wav,D,20,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,S_BF_w20,in00003__S_BF_w20.wav,S,20,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,0.754177,0.32772,False
in00003,C_BF_w60,in00003__C_BF_w60.wav,C,60,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,D_BF_w60,in00003__D_BF_w60.wav,D,60,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,S_BF_w60,in00003__S_BF_w60.wav,S,60,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,0.754177,0.32772,False
in00003,C_BF_w160,in00003__C_BF_w160.wav,C,160,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,D_BF_w160,in00003__D_BF_w160.wav,D,160,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,1.0,0.45853,False
in00003,S_BF_w160,in00003__S_BF_w160.wav,S,160,LA_0059,none,LA_E_1636866,LA_E_5861273,24012,1500.75,0.75,0.754177,0.32772,False
in00004,P_BF,in00004__P_BF.wav,P,0,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.01147,False
in00004,C_BF_w0,in00004__C_BF_w0.wav,C,0,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.01147,False
in00004,D_BF_w0,in00004__D_BF_w0.wav,D,0,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.44064,False
in00004,S_BF_w0,in00004__S_BF_w0.wav,S,0,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,0.251189,0.13732,False
in00004,C_BF_w20,in00004__C_BF_w20.wav,C,20,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.01147,False
in00004,D_BF_w20,in00004__D_BF_w20.wav,D,20,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.44064,False
in00004,S_BF_w20,in00004__S_BF_w20.wav,S,20,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,0.251189,0.13732,False
in00004,C_BF_w60,in00004__C_BF_w60.wav,C,60,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.01147,False
in00004,D_BF_w60,in00004__D_BF_w60.wav,D,60,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.44064,False
in00004,S_BF_w60,in00004__S_BF_w60.wav,S,60,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,0.251189,0.13732,False
in00004,C_BF_w160,in00004__C_BF_w160.wav,C,160,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.01147,False
in00004,D_BF_w160,in00004__D_BF_w160.wav,D,160,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,1.0,0.44064,False
in00004,S_BF_w160,in00004__S_BF_w160.wav,S,160,LA_0050,none,LA_E_3536152,LA_E_1406759,16761,1047.5625,7.5625,0.251189,0.13732,False
in00005,P_BF,in00005__P_BF.wav,P,0,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,C_BF_w0,in00005__C_BF_w0.wav,C,0,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,D_BF_w0,in00005__D_BF_w0.wav,D,0,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,S_BF_w0,in00005__S_BF_w0.wav,S,0,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,0.857111,0.43762,False
in00005,C_BF_w20,in00005__C_BF_w20.wav,C,20,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,D_BF_w20,in00005__D_BF_w20.wav,D,20,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,S_BF_w20,in00005__S_BF_w20.wav,S,20,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,0.857111,0.43762,False
in00005,C_BF_w60,in00005__C_BF_w60.wav,C,60,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,D_BF_w60,in00005__D_BF_w60.wav,D,60,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,S_BF_w60,in00005__S_BF_w60.wav,S,60,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,0.857111,0.43762,False
in00005,C_BF_w160,in00005__C_BF_w160.wav,C,160,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,D_BF_w160,in00005__D_BF_w160.wav,D,160,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,1.0,0.43762,False
in00005,S_BF_w160,in00005__S_BF_w160.wav,S,160,LA_0025,none,LA_E_1419852,LA_E_3264244,28656,1791.0,11.0,0.857111,0.43762,False
in00006,P_BF,in00006__P_BF.wav,P,0,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,C_BF_w0,in00006__C_BF_w0.wav,C,0,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,D_BF_w0,in00006__D_BF_w0.wav,D,0,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,S_BF_w0,in00006__S_BF_w0.wav,S,0,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,0.77136,0.31235,False
in00006,C_BF_w20,in00006__C_BF_w20.wav,C,20,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,D_BF_w20,in00006__D_BF_w20.wav,D,20,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,S_BF_w20,in00006__S_BF_w20.wav,S,20,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,0.77136,0.31235,False
in00006,C_BF_w60,in00006__C_BF_w60.wav,C,60,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,D_BF_w60,in00006__D_BF_w60.wav,D,60,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,S_BF_w60,in00006__S_BF_w60.wav,S,60,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,0.77136,0.31235,False
in00006,C_BF_w160,in00006__C_BF_w160.wav,C,160,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,D_BF_w160,in00006__D_BF_w160.wav,D,160,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,1.0,0.43555,False
in00006,S_BF_w160,in00006__S_BF_w160.wav,S,160,LA_0018,none,LA_E_9301086,LA_E_9377546,26839,1677.4375,17.4375,0.77136,0.31235,False
in00007,P_BF,in00007__P_BF.wav,P,0,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,C_BF_w0,in00007__C_BF_w0.wav,C,0,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,D_BF_w0,in00007__D_BF_w0.wav,D,0,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,S_BF_w0,in00007__S_BF_w0.wav,S,0,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.142976,0.39276,False
in00007,C_BF_w20,in00007__C_BF_w20.wav,C,20,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,D_BF_w20,in00007__D_BF_w20.wav,D,20,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,S_BF_w20,in00007__S_BF_w20.wav,S,20,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.142976,0.39276,False
in00007,C_BF_w60,in00007__C_BF_w60.wav,C,60,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,D_BF_w60,in00007__D_BF_w60.wav,D,60,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,S_BF_w60,in00007__S_BF_w60.wav,S,60,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.142976,0.39276,False
in00007,C_BF_w160,in00007__C_BF_w160.wav,C,160,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,D_BF_w160,in00007__D_BF_w160.wav,D,160,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.0,0.39276,False
in00007,S_BF_w160,in00007__S_BF_w160.wav,S,160,LA_0046,none,LA_E_5335785,LA_E_7166100,24999,1562.4375,2.4375,1.142976,0.39276,False
in00008,P_BF,in00008__P_BF.wav,P,0,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,C_BF_w0,in00008__C_BF_w0.wav,C,0,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,D_BF_w0,in00008__D_BF_w0.wav,D,0,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,S_BF_w0,in00008__S_BF_w0.wav,S,0,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.375415,0.39816,False
in00008,C_BF_w20,in00008__C_BF_w20.wav,C,20,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,D_BF_w20,in00008__D_BF_w20.wav,D,20,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,S_BF_w20,in00008__S_BF_w20.wav,S,20,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.375415,0.39816,False
in00008,C_BF_w60,in00008__C_BF_w60.wav,C,60,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,D_BF_w60,in00008__D_BF_w60.wav,D,60,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,S_BF_w60,in00008__S_BF_w60.wav,S,60,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.375415,0.39816,False
in00008,C_BF_w160,in00008__C_BF_w160.wav,C,160,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,D_BF_w160,in00008__D_BF_w160.wav,D,160,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.0,0.39816,False
in00008,S_BF_w160,in00008__S_BF_w160.wav,S,160,LA_0035,none,LA_E_8817181,LA_E_2478039,29516,1844.75,4.75,1.375415,0.39816,False
in00009,P_BF,in00009__P_BF.wav,P,0,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.00381,False
in00009,C_BF_w0,in00009__C_BF_w0.wav,C,0,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.00381,False
in00009,D_BF_w0,in00009__D_BF_w0.wav,D,0,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.46344,False
in00009,S_BF_w0,in00009__S_BF_w0.wav,S,0,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,0.251189,0.15538,False
in00009,C_BF_w20,in00009__C_BF_w20.wav,C,20,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.00381,False
in00009,D_BF_w20,in00009__D_BF_w20.wav,D,20,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.46344,False
in00009,S_BF_w20,in00009__S_BF_w20.wav,S,20,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,0.251189,0.15538,False
in00009,C_BF_w60,in00009__C_BF_w60.wav,C,60,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.00381,False
in00009,D_BF_w60,in00009__D_BF_w60.wav,D,60,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.46344,False
in00009,S_BF_w60,in00009__S_BF_w60.wav,S,60,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,0.251189,0.15538,False
in00009,C_BF_w160,in00009__C_BF_w160.wav,C,160,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.00381,False
in00009,D_BF_w160,in00009__D_BF_w160.wav,D,160,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,1.0,0.46344,False
in00009,S_BF_w160,in00009__S_BF_w160.wav,S,160,LA_0002,none,LA_E_3098275,LA_E_2520750,24963,1560.1875,0.1875,0.251189,0.15538,False
in00010,P_BF,in00010__P_BF.wav,P,0,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,C_BF_w0,in00010__C_BF_w0.wav,C,0,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,D_BF_w0,in00010__D_BF_w0.wav,D,0,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,S_BF_w0,in00010__S_BF_w0.wav,S,0,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.155228,0.63312,False
in00010,C_BF_w20,in00010__C_BF_w20.wav,C,20,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,D_BF_w20,in00010__D_BF_w20.wav,D,20,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,S_BF_w20,in00010__S_BF_w20.wav,S,20,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.155228,0.63312,False
in00010,C_BF_w60,in00010__C_BF_w60.wav,C,60,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,D_BF_w60,in00010__D_BF_w60.wav,D,60,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,S_BF_w60,in00010__S_BF_w60.wav,S,60,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.155228,0.63312,False
in00010,C_BF_w160,in00010__C_BF_w160.wav,C,160,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,D_BF_w160,in00010__D_BF_w160.wav,D,160,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.0,0.63312,False
in00010,S_BF_w160,in00010__S_BF_w160.wav,S,160,LA_0020,none,LA_E_4671119,LA_E_7520804,21226,1326.625,6.625,1.155228,0.63312,False
in00011,P_BF,in00011__P_BF.wav,P,0,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.3558,False
in00011,C_BF_w0,in00011__C_BF_w0.wav,C,0,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.3558,False
in00011,D_BF_w0,in00011__D_BF_w0.wav,D,0,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.33746,False
in00011,S_BF_w0,in00011__S_BF_w0.wav,S,0,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,0.877782,0.31717,False
in00011,C_BF_w20,in00011__C_BF_w20.wav,C,20,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.3558,False
in00011,D_BF_w20,in00011__D_BF_w20.wav,D,20,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.33746,False
in00011,S_BF_w20,in00011__S_BF_w20.wav,S,20,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,0.877782,0.31717,False
in00011,C_BF_w60,in00011__C_BF_w60.wav,C,60,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.3558,False
in00011,D_BF_w60,in00011__D_BF_w60.wav,D,60,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.33746,False
in00011,S_BF_w60,in00011__S_BF_w60.wav,S,60,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,0.877782,0.31717,False
in00011,C_BF_w160,in00011__C_BF_w160.wav,C,160,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.3558,False
in00011,D_BF_w160,in00011__D_BF_w160.wav,D,160,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,1.0,0.33746,False
in00011,S_BF_w160,in00011__S_BF_w160.wav,S,160,LA_0066,none,LA_E_4201069,LA_E_9544869,31213,1950.8125,10.8125,0.877782,0.31717,False
in00012,P_BF,in00012__P_BF.wav,P,0,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,C_BF_w0,in00012__C_BF_w0.wav,C,0,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,D_BF_w0,in00012__D_BF_w0.wav,D,0,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,S_BF_w0,in00012__S_BF_w0.wav,S,0,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.019646,0.58926,False
in00012,C_BF_w20,in00012__C_BF_w20.wav,C,20,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,D_BF_w20,in00012__D_BF_w20.wav,D,20,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,S_BF_w20,in00012__S_BF_w20.wav,S,20,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.019646,0.58926,False
in00012,C_BF_w60,in00012__C_BF_w60.wav,C,60,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,D_BF_w60,in00012__D_BF_w60.wav,D,60,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,S_BF_w60,in00012__S_BF_w60.wav,S,60,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.019646,0.58926,False
in00012,C_BF_w160,in00012__C_BF_w160.wav,C,160,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,D_BF_w160,in00012__D_BF_w160.wav,D,160,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.0,0.58926,False
in00012,S_BF_w160,in00012__S_BF_w160.wav,S,160,LA_0030,none,LA_E_3698964,LA_E_9138143,28347,1771.6875,11.6875,1.019646,0.58926,False
in00013,P_BF,in00013__P_BF.wav,P,0,LA_0027,none,LA_E_6840724,LA_E_4204074,31914,1994.625,14.625,1.0,0.37558,False
